Date Added,Brewery,Beer,untappd,Left,Price,Was,ABV,Comment,Released Date,Colab,Style,Hops,Container type,Container size (ml)
17-Aug-2026,Messorem,An 7 / Year 7,4.41,1,50,50,8,,28-Jul-2026,,Double NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Track X Beak,4.46,1,50,50,10,,29-Jul-2026,"Track, Beak",Triple NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Bas-Canada X Yakima Chief Hops,4.36,1,45,45,7,,28-Jul-2026,Bas-Canada,NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Floc. X Rivington,4.28,1,45,45,7.5,,28-Jul-2026,"Floc, Rivington",NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X CLAG,4.38,1,45,45,8,,30-Jul-2026,Clag,Double NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Fidens X Freestyle Hops,4.18,1,45,45,7.5,,28-Jul-2026,Fidens,West Coast IPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Lyric,4.45,1,45,45,8.1,,28-Jul-2026,Lyric,Double NEIPA,,Can,473
17-Aug-2026,Messorem,A7Y7 X Bas-Canada,4.4,1,125,125,11.9,,30-Jul-2026,Bas-Canada,Barrel Aged Stout,,Bottle,375
17-Aug-2026,Messorem,A7Y7 X Bas-Canada (Adjunct),4.41,1,125,125,11.9,,30-Jul-2026,Bas-Canada,Barrel Aged Stout,,Bottle,375
17-Aug-2026,Messorem,BW A7Y7,4.51,1,150,150,11.9,,31-Jul-2026,,Barrel Aged Barleywine,,Bottle,750
