name,brewery,style,abv,price,stock,container,volume_ml,comment,collab_breweries,hops,images,release_at,is_anniversary
Brujos Sundial Pacific Ale,Brujos Brewing,Pacific Ale,4.8,50,,Can 440ml,440,,,"Galaxy,Motueka",,,
Tree House Cocoa Imperial Stout,Tree House Brewing,Imperial Stout,10.2,80,,Can 440ml,440,,,,,,
Fidens Frühjahr Crisp Lager,Fidens Brewing,Lager,4.4,50,,Can 440ml,440,,,Hallertau Mittelfruh,,,
Other Half Haze Engine,Other Half Brewing,NEIPA,6.8,38,,Can 440ml,440,,,"Citra,Mosaic,Nelson Sauvin",,,
Fidens West Coast Redux,Fidens Brewing,West Coast IPA,7,38,,Can 440ml,440,,,"Simcoe,Centennial,Columbus",,,
Brujos Stone-Fruit Sour,Brujos Brewing,Fruit Sour,5.2,42,,Can 440ml,440,,,,,,
Tropic Thunder — Tree House × Other Half,Tree House Brewing,NEIPA,7.4,48,,Can 440ml,440,,Other Half Brewing,"Galaxy,Citra,Sabro",,,
Tree House Tenth Anniversary IPA,Tree House Brewing,Double IPA,8.4,65,,Can 440ml,440,,,"Galaxy,Mosaic,Idaho 7",,,
Fidens Fresh-Hop Harvest,Fidens Brewing,NEIPA,6.4,44,,Can 440ml,440,,,"Citra,Simcoe",,2026-05-31T12:44:45.975Z,
Tree House Galactic Drift,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Citra,Galaxy",,2026-05-31T12:44:45.995Z,
Tree House Nimbus,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Mosaic,Amarillo",,2026-05-31T00:44:46.011Z,
Tree House Cellar Reserve,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Citra,Nelson Sauvin",,2026-05-30T18:44:46.027Z,
Tree House Solstice,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Galaxy,Sabro",,2026-05-30T15:44:46.042Z,
Tree House Quintessence,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Citra,Mosaic",,2026-05-30T11:44:46.056Z,
Tree House Aurora Prelude,Tree House Brewing,NEIPA,7,55,,Can 440ml,440,,,"Nelson Sauvin,Motueka",,2026-06-07T12:44:46.071Z,
